"","word","freq"
"sucre","sucre",99
"rhum","rhum",63
"vodka","vodka",55
"orange","orange",50
"ananas","ananas",27
"liqueur","liqueur",25
"grenadine","grenadine",24
"café","café",19
"crème","crème",17
"menthe","menthe",16
"cointreau","cointreau",16
"grand","grand",16
"marnier","marnier",16
"limonade","limonade",16
"soda","soda",16
"vanille","vanille",16
"sucrelle","sucrelle",15
"sprite","sprite",15
"vin","vin",14
"lait","lait",13
"bouteille","bouteille",13
"brizard","brizard",11
"kahlua","kahlua",11
"marie","marie",11
"whisky","whisky",11
"bacardi","bacardi",10
"club","club",10
"cubain","cubain",10
"havana","havana",10
"gazeuse","gazeuse",10
"tequila","tequila",10
"bleu","bleu",10
"curaçao","curaçao",10
"cola","cola",10
"ambré","ambré",9
"gin","gin",9
"goyaves","goyaves",9
"fraises","fraises",9
"baileys","baileys",9
"pamplemousses","pamplemousses",8
"eau","eau",7
"coco","coco",7
"cuillère","cuillère",7
"deau","deau",7
"fruits","fruits",7
"muscade","muscade",7
"noix","noix",7
"get","get",7
"feuilles","feuilles",6
"rouge","rouge",6
"tabasco","tabasco",6
"sel","sel",6
"liquide","liquide",6
"bitters","bitters",6
"dangostura","dangostura",6
"fruit","fruit",6
"passion","passion",6
"coca","coca",5
"pepsi","pepsi",5
"tonic","tonic",5
"oeufs","oeufs",5
"maracuja","maracuja",5
"saveur","saveur",5
"cranberry","cranberry",4
"sucreberges","sucreberges",4
"martini","martini",4
"vermouth","vermouth",4
"gouttes","gouttes",4
"champagne","champagne",4
"mousseux","mousseux",4
"bouteilles","bouteilles",4
"pincées","pincées",4
"râpée","râpée",4
"poudre","poudre",4
"dry","dry",4
"ginger","ginger",4
"bananes","bananes",4
"gingembre","gingembre",4
"caribbean","caribbean",4
"cognac","cognac",4
"framboises","framboises",4
"shooter","shooter",4
"quartier","quartier",4
"blanche","blanche",4
"sachets","sachets",3
"thé","thé",3
"soupe","soupe",3
"cinzano","cinzano",3
"tomates","tomates",3
"sauce","sauce",3
"worcestershire","worcestershire",3
"céleri","céleri",3
"poivre","poivre",3
"brandy","brandy",3
"cerises","cerises",3
"gousses","gousses",3
"ale","ale",3
"canada","canada",3
"cuillères","cuillères",3
"mangues","mangues",3
"raisins","raisins",3
"volume","volume",3
"melon","melon",2
"chambord","chambord",2
"campari","campari",2
"tranche","tranche",2
"bière","bière",2
"guinness","guinness",2
"stout","stout",2
"sanguine","sanguine",2
"mandarine","mandarine",2
"napoléon","napoléon",2
"verre","verre",2
"exotiques","exotiques",2
"brun","brun",2
"morceau","morceau",2
"cocktails","cocktails",2
"amère","amère",2
"damande","damande",2
"essence","essence",2
"cassonade","cassonade",2
"roux","roux",2
"traits","traits",2
"dépices","dépices",2
"spicy","spicy",2
"sangria","sangria",2
"mojito","mojito",2
"pommes","pommes",2
"porto","porto",2
"saison","saison",2
"concentré","concentré",2
"sucré","sucré",2
"galliano","galliano",2
"sambuca","sambuca",2
"bull","bull",2
"drink","drink",2
"pitbull","pitbull",2
"red","red",2
"bourbon","bourbon",2
"whiskey","whiskey",2
"dabsinthe","dabsinthe",2
"cachaça","cachaça",1
"pisco","pisco",1
"goutte","goutte",1
"cherry","cherry",1
"bénédictine","bénédictine",1
"damaretto","damaretto",1
"miel","miel",1
"levure","levure",1
"dorgeat","dorgeat",1
"abricot","abricot",1
"dabricots","dabricots",1
"tasse","tasse",1
"mandarines","mandarines",1
"carottes","carottes",1
"lorange","lorange",1
"orangina","orangina",1
"mix","mix",1
"cardamome","cardamome",1
"jaune","jaune",1
"nectar","nectar",1
"pêches","pêches",1
"mirabelles","mirabelles",1
"glace","glace",1
"zestes","zestes",1
"cordial","cordial",1
"lime","lime",1
"litchao","litchao",1
"lychees","lychees",1
"soho","soho",1
"bois","bois",1
"des","des",1
"beirão","beirão",1
"licor","licor",1
"rosé","rosé",1
"boîtes","boîtes",1
"boîte","boîte",1
"cidre","cidre",1
"sanguines","sanguines",1
"beer","beer",1
"noilly","noilly",1
"prat","prat",1
"grains","grains",1
"fraise","fraise",1
"tagada","tagada",1
"energy","energy",1
"purée","purée",1
"fleurs","fleurs",1
"sureau","sureau",1
"morceaux","morceaux",1
"carambars","carambars",1
"verres","verres",1
"sorbet","sorbet",1
"vertes","vertes",1
"caramel","caramel",1
"pastèques","pastèques",1
"denergy","denergy",1
"jägermeister","jägermeister",1
"olive","olive",1
"ficelle","ficelle",1
"gold","gold",1
"goldschlager","goldschlager",1
"strike","strike",1
"pêche","pêche",1
"cassis","cassis",1
"chartreuse","chartreuse",1
